old_path,new_path,domain,letter,catalog_id,kind,phase,junction,status,note
Fremlin_FourierSeries,03_data/A_knots/02_fourier/fremlin_fourier_series,03_data,A_knots,,data,SP04,yes,verified,
generated-figures,03_data/D_generated/figures,03_data,D_generated,,output,SP04,yes,verified,
Ideal_Sources,03_data/A_knots/01_ideal/ideal_sources,03_data,A_knots,,data,SP04,yes,verified,
Independent_FiniteCore_SpectralSelector,02_libraries/B_finite_core/B001_independent_finitecore_spectral_selector,02_libraries,B_finite_core,B001,code,SP05 / SP09,no,verified,SP09 level-2 scaffold root
Katlas_Source_Crawler_v0.2.2,04_tools/B_crawlers/B001_katlas_source_crawler/B001-v0.2.2,04_tools,B_crawlers,B001,tooling,SP04 / SP09,no,verified,SP09 level-2 scaffold root
Katlas_Sources_v0.2.2_Outputs,03_data/A_knots/03_katlas/v0.2.2,03_data,A_knots,,data,SP04,yes,verified,completed_post_SP11_husk_cleanup; was skipped old_path_missing_on_disk; filesystem move (untracked)
Knot_Geometry_Library,02_libraries/A_knot_libraries/A001_knot_geometry_library,02_libraries,A_knot_libraries,A001,code,SP05 / SP09,no,verified,SP09 level-2 scaffold root
KnotTheory,08_third_party/knot_theory,08_third_party,,,vendored,SP04,yes,verified,
media,03_data/C_media,03_data,C_media,,data,SP04,yes,verified,
proof-scripts,04_tools/D_proof/D001_proof_scripts,04_tools,D_proof,D001,tooling,SP04,yes,verified,
PTSA_Parametric_Trefoil_Seed_Atlas_v1.0.0,01_research/E_pipelines/E009_ptsa_parametric_trefoil_seed_atlas/E009-v1.0.0,01_research,E_pipelines,E009,code,SP05 / SP09,no,verified,SP09 level-2 scaffold root
Restore_Archives,09_archive/restore,09_archive,,,archive,SP04,yes,verified,
scripts,07_scripts,07_scripts,,,tooling,SP04,yes,verified,
SST-dashboard,05_apps/A001_dashboard,05_apps,,A001,app,SP04,yes,verified,
templates,06_templates,06_templates,,,tooling,SP04,yes,verified,
datasets,03_data/B_external,03_data,B_external,B001,data,SP04,yes,verified,
bundles,DELETE/bundles,DELETE,,,archive,SP11,no,verified,empty husk soft-retired post-SP11; original SP04 dest 09_archive/bundles unused (was skipped old_path_missing)
verification-suites,01_research/D_benchmarks/D003_verification_suites,01_research,D_benchmarks,D003,code,SP05,yes,verified,
SST_6Source_Blind_Falsifier_v0.1.0,01_research/A_falsifiers/A020_six_source_blind_energy/A020-v0.1.0,01_research,A_falsifiers,A020,code,SP05 / SP09,yes,verified,versions=1; SP09 level-2 scaffold root
SST_7Article_Closure_Holonomy,01_research/A_falsifiers/A028_seven_article_closure_holonomy,01_research,A_falsifiers,A028,code,SP05 / SP09,no,verified,versions=3; SP09 level-2 scaffold root
SST_Breathing_Stretching_Return_Phase_Causality,01_research/A_falsifiers/A033_breathing_stretching_return_phase,01_research,A_falsifiers,A033,code,SP05 / SP09,no,verified,versions=1; SP09 level-2 scaffold root
SST_Chiral-Kelvin-Mode,01_research/A_falsifiers/A008_chiral_kelvin_core,01_research,A_falsifiers,A008,code,SP05 / SP09,no,verified,versions=5; SP09 level-2 scaffold root
SST_Chirality_Helicity_Transport_Polarity,01_research/A_falsifiers/A037_chirality_helicity_transport_polarity,01_research,A_falsifiers,A037,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_Coil_DigitalTwin_research,01_research/F_exploratory/F001_coil_digital_twin,01_research,F_exploratory,F001,code,SP05 / SP09,no,verified,versions=7; SP09 level-2 scaffold root
SST_CoilLab_research,01_research/F_exploratory/F003_coil_lab,01_research,F_exploratory,F003,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_contact_billiard_hydrodynamic_falsifier,01_research/A_falsifiers/A006_contact_billiard_hydrodynamic,01_research,A_falsifiers,A006,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_contra_swirl_bridge_research,01_research/B_closures/B005_contra_swirl_bridge,01_research,B_closures,B005,code,SP05 / SP09,no,verified,versions=5; SP09 level-2 scaffold root
SST_counterpulley_alpha_falsifier,01_research/A_falsifiers/A010_counterpulley_alpha_ropelength,01_research,A_falsifiers,A010,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_dark_knot_rayleigh_research,01_research/A_falsifiers/A003_dark_knot_rayleigh,01_research,A_falsifiers,A003,code,SP05,yes,verified,versions=1
SST_derive_constants_research,01_research/B_closures/B001_derive_constants,01_research,B_closures,B001,code,SP05,yes,verified,versions=unversioned
SST_dimensionless_dynamic_predictions,01_research/A_falsifiers/A004_dimensionless_dynamic_predictions,01_research,A_falsifiers,A004,code,SP05 / SP09,no,verified,versions=4; SP09 level-2 scaffold root
SST_fermat_pybind_research,01_research/C_dynamics/C005_fermat_biot_savart,01_research,C_dynamics,C005,code,SP05 / SP09,no,verified,versions=12; SP09 level-2 scaffold root
SST_Finite_Core_Axial_Toroidal_Phase_Delay,01_research/A_falsifiers/A029_finite_core_axial_toroidal_phase_delay,01_research,A_falsifiers,A029,code,SP05 / SP09,no,verified,versions=3; SP09 level-2 scaffold root
SST_Fourier_vs_Ideal_Blind_Falsifier,01_research/A_falsifiers/A022_fourier_vs_ideal,01_research,A_falsifiers,A022,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_fs_attachment_audit_research,01_research/D_benchmarks/D002_fs_attachment_audit,01_research,D_benchmarks,D002,code,SP05 / SP09,no,verified,versions=unversioned; SP09 level-2 scaffold root
SST_Helmholtz,01_research/A_falsifiers/A016_helmholtz_vortex_transport,01_research,A_falsifiers,A016,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_ideal_links,01_research/A_falsifiers/A007_ideal_links_topology_robustness,01_research,A_falsifiers,A007,code,SP05 / SP09,no,verified,versions=14; SP09 level-2 scaffold root
SST_Katlas_Link_Geometry_Conditioning_v2.0.0,01_research/E_pipelines/E008_katlas_link_geometry_conditioning/E008-v2.0.0,01_research,E_pipelines,E008,code,SP05 / SP09,no,verified,versions=1; SP09 level-2 scaffold root
