record_id,knot_label,L_D,I_kappa2,I_twist2,C_contact,reported_L_D,reconstructed_fourier_L_D,resampled_polygon_L_D,fourier_mode_count,maximum_fourier_mode
0:1:1,0_1,6.283185,6.290513519712675,0.0,3.4081855361322486e-23,6.283185,6.283185307179586,6.2831370337176295,1,1
3:1:1,3_1,16.371637,19.447824762635666,0.0,0.18698471723949184,16.371637,16.3724604307158,16.37227113589973,183,250
4:1:1,4_1,21.043322,23.038897023744887,0.0,0.8721469619355708,21.043322,21.044950672500708,21.04459399798383,220,255
5:1:1,5_1,23.598564,28.574269039017633,0.0,0.4019697912585063,23.598564,23.60109873054135,23.600542605811967,233,255
5:1:2,5_2,24.734148,27.791386825874532,0.0,0.9987795277690853,24.734148,24.73684407643314,24.736251835039575,241,256
6:1:1,6_1,28.354929,31.867480496344932,0.0,1.806508606517976,28.354929,28.358978810844178,28.358088846343804,240,256
6:1:2,6_2,28.508783,32.705184849605445,0.0,0.9473423583979577,28.508783,28.51297990475006,28.512049345946654,249,255
6:1:3,6_3,28.915367,31.475995393323778,0.0,0.8145205904032061,28.915367,28.919520995064335,28.918603501518678,247,256
7:1:1,7_1,30.700289,37.152526680192466,0.0,0.5584010200256695,30.700289,30.70580005738861,30.704555643629647,222,254
7:1:2,7_2,31.931015,34.86755673101322,0.0,1.6919310391025704,31.931015,31.93662188930738,31.935366050499134,238,255
7:1:4,7_4,32.130192,36.9228676906486,0.0,1.9029098442277943,32.130192,32.136210882142734,32.13486381129579,244,254
8:1:1,8_1,35.491375,40.649978875483974,0.0,2.799155169624722,35.491375,35.499442155753265,35.49764501547028,253,255
8:1:17,8_17,37.240898,41.807500856019644,0.0,1.2248727118886777,37.240898,37.25002642036603,37.24797630797198,244,254
8:1:19,8_19,30.493519,27.461697667448135,0.0,0.003588140990745828,30.493519,30.497544409077385,30.49665642149823,237,256
9:1:1,9_1,37.744167,45.13464206645307,0.0,0.6714488504174346,37.744167,37.754336439281474,37.752001754163274,232,252
9:1:2,9_2,39.016441,43.47507979967327,0.0,2.3992630929611365,39.016441,39.026885494643544,39.0245456996732,245,256
10:1:1,10_1,42.58107,47.91559052751162,0.0,3.438318004448387,42.58107,42.594800071887086,42.59169113863645,240,253
10:1:2,10_2,42.794169,49.65624317297058,0.0,1.269338143235371,42.794169,42.80850979429269,42.805335323740856,248,256
10:1:124,10_124,35.490845,29.46501716664905,0.0,0.00241416566228835,35.490845,35.49671581799909,35.495406105773014,244,255
11:1:1,11_1,44.804989,53.11814410091836,0.0,0.6767257070829453,44.804989,44.821800953162274,44.81801181869044,231,255
11:1:2,11_2,46.146275,52.4902828143427,0.0,3.2388626097141633,46.146275,46.16390928121432,46.159946200806104,235,254
